r1 d1 n1 r2 d2 n2 target
0.019390 4.730000 1.516802 0.000000 95.608065 1.000000 0.032516
0.019420 4.730000 1.516802 0.000000 95.455100 1.000000 0.032617
0.019424 4.730000 1.516802 0.000000 95.432760 1.000000 0.032632
0.019416 4.730000 1.516802 0.000000 95.473743 1.000000 0.032605
0.019372 4.730000 1.516802 0.000000 95.702701 1.000000 0.032453
0.019427 4.730000 1.516802 0.000000 95.418109 1.000000 0.032642
0.019407 4.730000 1.516802 0.000000 95.521587 1.000000 0.032573
0.019377 4.730000 1.516802 0.000000 95.676507 1.000000 0.032470
0.019441 4.730000 1.516802 0.000000 95.347047 1.000000 0.032690
0.019382 4.730000 1.516802 0.000000 95.654745 1.000000 0.032485
0.019381 4.730000 1.516802 0.000000 95.411666 1.000000 0.038895
0.019420 4.730000 1.516802 0.000000 95.411666 1.000000 0.032830
0.019420 4.730000 1.516802 0.000000 95.411666 1.000000 0.032851
0.019497 4.730000 1.516802 0.000000 95.411666 1.000000 0.044956
0.019478 4.730000 1.516802 0.000000 95.411666 1.000000 0.039589
0.019368 4.730000 1.516802 0.000000 95.411666 1.000000 0.042397
0.019461 4.730000 1.516802 0.000000 95.411666 1.000000 0.035849
0.019402 4.730000 1.516802 0.000000 95.411666 1.000000 0.034661
0.019321 4.730000 1.516802 0.000000 95.411666 1.000000 0.058120
0.019377 4.730000 1.516802 0.000000 95.411666 1.000000 0.039771
0.019385 4.730000 1.516802 0.000000 95.411666 1.000000 0.037917
0.019290 4.730000 1.516802 0.000000 95.411666 1.000000 0.069791
0.019358 4.730000 1.516802 0.000000 95.411666 1.000000 0.045242
0.019301 4.730000 1.516802 0.000000 95.411666 1.000000 0.065809
0.019345 4.730000 1.516802 0.000000 95.411666 1.000000 0.049614
0.019385 4.730000 1.516802 0.000000 95.411666 1.000000 0.037917
0.019430 4.730000 1.516802 0.000000 95.411666 1.000000 0.032662
0.019419 4.730000 1.516802 0.000000 95.411666 1.000000 0.032880
0.019404 4.730000 1.516802 0.000000 95.411666 1.000000 0.034342
0.019444 4.730000 1.516802 0.000000 95.411666 1.000000 0.033473
0.019417 4.730000 1.516802 -0.000017 95.384435 1.000000 0.032636
0.019417 4.730000 1.516802 -0.000019 95.374846 1.000000 0.032639
0.019417 4.730000 1.516802 0.000000 95.468281 1.000000 0.032609
0.019417 4.730000 1.516802 -0.000024 95.354255 1.000000 0.032646
0.019417 4.730000 1.516802 -0.000010 95.419975 1.000000 0.032625
0.019417 4.730000 1.516802 -0.000001 95.464801 1.000000 0.032610
0.019417 4.730000 1.516802 -0.000003 95.455707 1.000000 0.032613
0.019417 4.730000 1.516802 -0.000030 95.321366 1.000000 0.032657
0.019417 4.730000 1.516802 -0.000012 95.408003 1.000000 0.032628
0.019417 4.730000 1.516802 0.000019 95.561565 1.000000 0.032578
0.019417 4.730000 1.516802 -0.000009 95.424481 1.000000 0.032623
0.019417 4.730000 1.516802 -0.000036 95.292796 1.000000 0.032667
0.019417 4.730000 1.516802 0.000018 95.556272 1.000000 0.032580
0.019417 4.730000 1.516802 -0.000004 95.447927 1.000000 0.032615
0.019417 4.730000 1.516802 0.000013 95.529242 1.000000 0.032589
0.019417 4.730000 1.516802 -0.000009 95.425289 1.000000 0.032623
0.019417 4.730000 1.516802 -0.000054 95.209391 1.000000 0.032695
0.019417 4.730000 1.516802 0.000016 95.544278 1.000000 0.032584
0.019417 4.730000 1.516802 0.000009 95.509268 1.000000 0.032595
0.019417 4.730000 1.516802 0.000013 95.529228 1.000000 0.032589
0.019417 4.730000 1.516802 -0.000099 95.411666 1.000000 0.048886
0.019417 4.730000 1.516802 0.000001 95.411666 1.000000 0.033026
0.019417 4.730000 1.516802 0.000074 95.411666 1.000000 0.048272
0.019417 4.730000 1.516802 -0.000040 95.411666 1.000000 0.034682
0.019417 4.730000 1.516802 -0.000092 95.411666 1.000000 0.046758
0.019417 4.730000 1.516802 0.000013 95.411666 1.000000 0.034138
0.019417 4.730000 1.516802 0.000017 95.411666 1.000000 0.034731
0.019417 4.730000 1.516802 0.000017 95.411666 1.000000 0.034682
0.019417 4.730000 1.516802 0.000018 95.411666 1.000000 0.034852
0.019417 4.730000 1.516802 -0.000002 95.411666 1.000000 0.032856
0.019417 4.730000 1.516802 -0.000072 95.411666 1.000000 0.041218
0.019417 4.730000 1.516802 -0.000078 95.411666 1.000000 0.042942
0.019417 4.730000 1.516802 -0.000009 95.411666 1.000000 0.032641
0.019417 4.730000 1.516802 -0.000066 95.411666 1.000000 0.039855
0.019417 4.730000 1.516802 -0.000054 95.411666 1.000000 0.037213
0.019417 4.730000 1.516802 0.000135 95.411666 1.000000 0.069105
0.019417 4.730000 1.516802 0.000030 95.411666 1.000000 0.036823
0.019417 4.730000 1.516802 -0.000006 95.411666 1.000000 0.032708
